,title,rating,content,sentence_length
0,Get the Pro 1500 instead.,3,"Update #2: I know the Pro 1500 isn't on Oral-B's website. When I bought the Pro 1500 nearly a year ago, I asked Oral-B why it's not on their site because I was concerned I had just bought a discontinued product. They assured me that it was in fact a brand new item that they had just released and that they were going to add the Pro 1500 to their site ""soon"".

I realize that it's nearly a year later and they still haven't done it even though they are still manufacturing it, but I have been to their site several times per month since then and I can tell you that I'm honestly not surprised it's not on their site yet. I get the impression that anyone could do a better job with their site up-keep than whoever is doing it now. I have even noticed that it's kinda somewhat falling apart. Some elements no longer work and haven't worked for months. Their products are fine, they just need better people to handle and operate their website.

Update #1: When I wrote this review, the price was the same for the Pro 1000 and Pro 1500 (including both the black and white Pro 1000s). Today, the price for the Pro 1500 nearly $20 more than it was when I wrote this review, and currently close to $30 more than the Pro 1000.

[Original review below]
I bought this to replace a very new Vitality. It was a *HUGE* upgrade over the Vitality, but then I saw the Pro 1500 and learned from Oral-B that it's quite superior. The Pro 1000's specs are:

- 1 cleaning mode: Daily Clean
- 8,800 oscillations per minute and 20,000 pulsations per minute on the Daily Clean mode
- A pressure sensor that's supposed to just stop the pulsations when it's triggered
- A pro timer that hesitates the motor once every 30 seconds, and 3 times every 2 minutes
- A NiMH battery (old technology)
- A battery life of 28 minutes (7 days, 2 minutes per day 2 times per day)
- A full recharge time of 22 hours
- A green charge indicator LED that blinks while charging, but stays off when it's not charging
- A red battery level indicator that blinks a few times upon on/off if the battery needs to be charged
- The CrossAction brush head

The Pro 1500's specs are:

- 2 cleaning modes: Daily Clean and Sensitive
- 9,900 oscillations per minute and 45,000 pulsations per minute on the Daily Clean mode (these speeds are faster than any I've seen so far in the specs of any of Oral-B's electric toothbrushes, including the Genius 8000 - they all seem to top out at 8,800 oscillations per minute and 40,000 pulsations per minute)
- 7,400 oscillations per minute and 33,000 pulsations per minute on the Sensitive mode
- A pressure sensor using a red LED that turns on when the pressure sensor is triggered
- A pro timer that hesitates the motor once every 30 seconds, and 3 times every 2 minutes
- A Lithium Ion battery
- A battery life of 56 minutes (14 days, 2 minutes per day 2 times per day)
- A full recharge time of 12 hours
- A green charge indicator LED that blinks while charging, but stays off when it's not charging
- A red battery level indicator that blinks a few times upon on/off if the battery needs to be charged.
- The CrossAction brush head

The Vitality is extremely basic:

- 1 cleaning mode: Daily Clean
- 7,600 oscillations per minute.
- A timer that hesitates the motor 3 times every 2 minutes
- A NiMH battery
- A battery life of 20 minutes (5 days, 2 minutes per day 2 times per day)
- A full recharge time of 19 hours
- No charge indicators or battery life indicators
- Mine came with the Sensitive Gum Care brush head

In comparison, the Vitality seems like a cheap generic electric toothbrush. Don't consider buying it.

When I upgraded to the Pro 1000, it was amazing. I wanted to burst at the seams and write an extremely rave review, but then I learned about *and ordered* the Oral-B Pro 1500. After using it, I can tell you that the Pro 1500 is *FAR* better than the Pro 1000. I honestly feel the Pro 1000 should be discontinued and no one should ever buy it. I mean really, the Pro 1500 is only $10 more right now and it destroys the Pro 1000.

I would have given the Pro 1000 4 stars instead of just 3 if it had a Lithium Ion battery. They charge faster and last longer without charging.

So yeah, I am not sure I would recommend the Pro 1000 if you can get the Pro 1500. The Pro 1500 is a much wiser purchase. I'm *extremely* happy with mine. It blows the Pro 1000 out of the water.",833
1,ITS SO LOUD,1," I bought this because I left my sonic care at my overseas after a trip. I thought it was supposed to be awesome and ready for a change. It’s like brushing your teeth with a weed whacker. It’s sooooo loud! And not smooth at all. It’s pulse is slow and my teeth hurt after ever brush. I had a headache after the first use and didn’t realize why. There is also and open hole in the brush head that gets toothpaste in it. I was stupid and threw away the box, or I’d return it in a heartbeat.",98
2,Has major battery issues,1,"So far so good. Works as expected
Update:
Bought this because I was tired of changing batteries...a few months of use and now, even after charging all day and through the night, the red light comes on after a few seconda of use.",43
3,Mold inside brush head,2,"The overall function of the toothbrush is good, and I like the sensitive teeth bristles (reason for 2 stars), but the brush heads do not tightly fit on my toothbrush which results in mold in the brush heads. I’ve tried changing the brush heads but it doesn’t help. My picture shows how much mold is inside after skipped a single day of cleaning the inside (which shouldn’t be required). Very frustrating. I will say, I got my husband one as well and this isn’t an issue. I got unlucky with a design flaw it seems.",95
4,... have always used a manual toothbrush but my dentist recommended this so I gave it a try,5,I have always used a manual toothbrush but my dentist recommended this so I gave it a try. I have been using it for a few months now and my teeth are whiter and cleaner.,35
5,Warning Voltage Rating may Not be Suitable!,2,"It’s great product, I would recommend it.

However please be mindful of the voltage ratings.
My country normal home voltage are 230V AC, since this is from the US the dock charger was rated at 110-130V AC.
I can charge it but it gets hot overtime.

Would suggest the supplier / Amazon to put a Warning on this for shopper from overseas.

If I knew I probably would just get one near my local store instead.",76
6,Very loud & poor battery life,3,"I've had a Sonic Care for many years and it finally died. My dentist recommended an Oral-B instead, so I thought sure, I'll get one. The price is much cheaper for the brush and the heads for the Oral-B than for the super expensive Sonic Care. But all I can say is - I got what a paid for. This toothbrush is so LOUD. I was not prepared for that. It sounds like the motor is laboring to move all of the brushes. The battery life is awful on this one. I've got to plug it in every few days for about 30 hours to get a full charge. I never had to do this with my last one.

I do like that the brush heads are inexpensive, they go on easily, and can interchange with other brushes in the series (might try a more expensive one in the line). I have slightly crooked teeth on the bottom and this toothbrush is doing a much better job cleaning those teeth than my old Sonic Care did.",176
7,DO NOT BUY THIS!!!!!!,1,this product is HORRIBLE. We used it for one charge and then have NOT been able to get it to recharge! Unfortunately I am unable to return this product as I no longer have original packaging. If possible I wouldn't even give this product one star! DO NOT BUY THIS ITEM!!!,51
8,I'm so glad I did,5,"I've been using a Sonicare for several years. It recently died and I needed a new toothbrush, so I went with this one. I'm so glad I did! I had a dental cleaning appointment yesterday and my hygienist asked what I was doing differently for my home care because my teeth looked cleaner than usual. My dentist commented on how good my teeth health looked, too. I love this toothbrush and highly recommend it.",74
9,"Dont buy, wont last",1,"Dont buy, i got this toothbrush for Christmas last year and I absolutely loved it. It worked great and my teeth felt so much cleaner. However, it quit working in May, only 5 months after I got it. At first, I thought the battery was dead so I charged it, but after several days, it never reached a full charge. It wouldn't work at all when I tried to turn it on, but after I left it on the charger, it would come on for about 10 seconds, but it had a really low power level and then it would stop working again. I had a protection plan on it, so I contacted them about getting a new one, but no one ever responded to my claim. I loved the toothbrush but I'm really disappointed in how quickly it stopped working and the lack of responsiveness when I filed a claim. Never did get a replacement a year later. Would not buy again from them",165
